Name,Type,ABV,Score,Avg_Rating,Reviews,Ratings,Brewery,Location,Availability
Bourbon Barrel Champion Ground,Stout - American Imperial,0.12,99,4.49,124,673,Jackie O's Pub & Brewery,Ohio,Rotating/Seasonal
Imperial Eclipse Stout - Elijah Craig (12 Year),Stout - American Imperial,0.11900000000000001,99,4.47,325,2028,FiftyFifty Brewing Co.,California,Rotating/Seasonal
Sang Noir,Wild Ale,0.09300000000000001,99,4.47,251,1850,Cascade Brewing / Raccoon Lodge & Brewpub,Oregon,Rotating/Seasonal
Space Trace,Stout - American Imperial,0.111,99,4.51,54,382,Bottle Logic Brewing,California,Rotating/Seasonal
Vicinity,IPA - New England,0.08,99,4.47,253,1773,Trillium Brewing Company,Massachusetts,Rotating/Seasonal
Emerald Grouper,IPA - Imperial,0.095,99,4.48,111,921,Pipeworks Brewing Company,Illinois,Rotating/Seasonal
Schaarbeekse Kriek,Lambic - Fruit,0.06,98,4.48,262,919,Brouwerij 3 Fonteinen,Belgium,Rotating/Seasonal
Black & Wild,Wild Ale,0.1,99,4.54,28,239,Side Project Brewing,Missouri,Rotating/Seasonal
The Streets,IPA - New England,0.1,99,4.5,82,455,Trillium Brewing Company,Massachusetts,Rotating/Seasonal
All That Is And All That Ever Will Be,Stout - Sweet / Milk,0.065,99,4.5,75,452,Tree House Brewing Company,Massachusetts,Rotating/Seasonal
Peche 'n Brett,Farmhouse Ale - Saison,0.1,99,4.47,203,1485,Logsdon Farmhouse Ales,Washington,Rotating/Seasonal
Foggier Window,IPA - New England,0.081,99,4.53,33,264,Monkish Brewing Co.,California,Rotating/Seasonal
Fyodor,Stout - Russian Imperial,0.131,98,4.47,236,1417,Stone Brewing,California,Rotating/Seasonal
Coolship Red,Lambic - Fruit,0.062,98,4.48,116,781,Allagash Brewing Company,Maine,Rotating/Seasonal
Cellarman Barrel Aged Saison,Farmhouse Ale - Saison,0.065,99,4.49,62,553,Sante Adairius Rustic Ales,California,Rotating/Seasonal
Caffè Americano,Stout - American Imperial,0.12,99,4.47,175,1241,Cigar City Brewing,Florida,Rotating/Seasonal
Dorothy (Wine Barrel Aged),Farmhouse Ale - Saison,0.07,99,4.53,33,254,Hill Farmstead Brewery,Vermont,Rotating/Seasonal
Thicket,Wild Ale,0.06,99,4.52,35,286,Side Project Brewing,Missouri,Rotating/Seasonal
Double Dry Hopped Sleeper Street,IPA - New England,0.07200000000000001,99,4.47,144,1096,Trillium Brewing Company,Massachusetts,Rotating/Seasonal
Darkstar November,Stout - Russian Imperial,0.1476,98,4.48,97,698,Bottle Logic Brewing,California,Rotating/Seasonal
Second Fiddle,IPA - Imperial,0.08199999999999999,99,4.46,308,2312,Fiddlehead Brewing Company,Vermont,Rotating/Seasonal
Black Tuesday - Rum Barrel-Aged,Stout - American Imperial,0.18899999999999997,99,4.51,40,326,The Bruery,California,Rotating/Seasonal
Blanc De Blancs,Bière de Champagne / Bière Brut,0.1,99,4.51,28,322,Side Project Brewing,Missouri,Rotating/Seasonal
Jam The Radar,Stout - American Imperial,0.13699999999999998,99,4.5,55,376,Bottle Logic Brewing,California,Rotating/Seasonal
Dragonsaddle,IPA - New England,0.115,99,4.5,54,370,Hoof Hearted Brewing,Ohio,Rotating/Seasonal
Hefeweissbier,Wheat Beer - Hefeweizen,0.054000000000000006,98,4.45,2679,8979,Bayerische Staatsbrauerei Weihenstephan,Germany,Year-round
Smooth,Wild Ale,0.06,99,4.54,24,208,Side Project Brewing,Missouri,Rotating/Seasonal
Mastermind,IPA - New England,0.081,99,4.46,177,1472,Fiddlehead Brewing Company,Vermont,Rotating/Seasonal
Nelson,IPA - American,0.07,98,4.45,879,4316,Alpine Beer Company,California,Rotating/Seasonal
Axe Man,IPA - American,0.07200000000000001,98,4.45,541,2984,Surly Brewing Company,Minnesota,Year-round
